street_name,planning_region,planning_area,market_segment,maturity
JLN KUKOH,Central,Outram,Rest of Central Region,
ROWELL RD,Central,Rochor,Rest of Central Region,
WATERLOO ST,Central,Bukit Merah,Rest of Central Region,
NEW MKT RD,Central,Singapore River,Core Central Region,
TG PAGAR PLAZA,Central,Downtown Core,Core Central Region,
QUEEN ST,Central,Rochor,Rest of Central Region,
BAIN ST,Central,Downtown Core,Core Central Region,
CANTONMENT RD,Central,Outram,Rest of Central Region,
CHANDER RD,Central,Rochor,Rest of Central Region,
KELANTAN RD,Central,Rochor,Rest of Central Region,
SAGO LANE,Central,Downtown Core,Core Central Region,
UPP CROSS ST,Central,Outram,Rest of Central Region,
CHIN SWEE RD,Central,Outram,Rest of Central Region,
SMITH ST,Central,Outram,Rest of Central Region,
VEERASAMY RD,Central,Rochor,Rest of Central Region,
KLANG LANE,Central,Rochor,Rest of Central Region,
BUFFALO RD,Central,Rochor,Rest of Central Region,
SELEGIE RD,Central,Rochor,Rest of Central Region,
JLN BERSEH,Central,Rochor,Rest of Central Region,
KRETA AYER RD,Central,Outram,Rest of Central Region,