PA,SZ,FA,HSE,Time
Sengkang,Compassvale,>120,320,2024
Sengkang,Compassvale,Not Available,0,2024
Sengkang,Fernvale,<=60,4800,2024
Sengkang,Fernvale,>60 to 80,3890,2024
Sengkang,Fernvale,>80 to 100,11400,2024
Sengkang,Fernvale,>100 to 120,4990,2024
Sengkang,Fernvale,>120,880,2024
Sengkang,Fernvale,Not Available,60,2024
Sengkang,Lorong Halus North,<=60,0,2024
Sengkang,Lorong Halus North,>60 to 80,0,2024
Sengkang,Lorong Halus North,>80 to 100,0,2024
Sengkang,Lorong Halus North,>100 to 120,0,2024
Sengkang,Lorong Halus North,>120,0,2024
Sengkang,Lorong Halus North,Not Available,0,2024
Sengkang,Rivervale,<=60,1780,2024
Sengkang,Rivervale,>60 to 80,660,2024
Sengkang,Rivervale,>80 to 100,6730,2024
Sengkang,Rivervale,>100 to 120,8120,2024
Sengkang,Rivervale,>120,3790,2024
Sengkang,Rivervale,Not Available,0,2024
Sengkang,Sengkang Town Centre,<=60,350,2024
Sengkang,Sengkang Town Centre,>60 to 80,1140,2024
Sengkang,Sengkang Town Centre,>80 to 100,6550,2024
Sengkang,Sengkang Town Centre,>100 to 120,8080,2024
Sengkang,Sengkang Town Centre,>120,3670,2024
Sengkang,Sengkang Town Centre,Not Available,0,2024
Sengkang,Sengkang West,<=60,0,2024
Sengkang,Sengkang West,>60 to 80,0,2024
Sengkang,Sengkang West,>80 to 100,0,2024
Sengkang,Sengkang West,>100 to 120,0,2024
Sengkang,Sengkang West,>120,0,2024
Sengkang,Sengkang West,Not Available,0,2024
Serangoon,Lorong Chuan,<=60,100,2024
Serangoon,Lorong Chuan,>60 to 80,50,2024
Serangoon,Lorong Chuan,>80 to 100,270,2024
Serangoon,Lorong Chuan,>100 to 120,440,2024
Serangoon,Lorong Chuan,>120,2230,2024
Serangoon,Lorong Chuan,Not Available,20,2024
Serangoon,Seletar Hills,<=60,230,2024
Serangoon,Seletar Hills,>60 to 80,50,2024
Serangoon,Seletar Hills,>80 to 100,210,2024
Serangoon,Seletar Hills,>100 to 120,120,2024
Serangoon,Seletar Hills,>120,4180,2024
Serangoon,Seletar Hills,Not Available,40,2024
Serangoon,Serangoon Central,<=60,650,2024
Serangoon,Serangoon Central,>60 to 80,1830,2024
Serangoon,Serangoon Central,>80 to 100,3170,2024
Serangoon,Serangoon Central,>100 to 120,1670,2024
Serangoon,Serangoon Central,>120,2020,2024
Serangoon,Serangoon Central,Not Available,110,2024
Serangoon,Serangoon Garden,<=60,1750,2024
Serangoon,Serangoon Garden,>60 to 80,2120,2024
Serangoon,Serangoon Garden,>80 to 100,3040,2024
Serangoon,Serangoon Garden,>100 to 120,950,2024
Serangoon,Serangoon Garden,>120,5920,2024
Serangoon,Serangoon Garden,Not Available,150,2024
Serangoon,Serangoon North,<=60,0,2024
Serangoon,Serangoon North,>60 to 80,0,2024
Serangoon,Serangoon North,>80 to 100,600,2024
Serangoon,Serangoon North,>100 to 120,1750,2024
Serangoon,Serangoon North,>120,2300,2024
Serangoon,Serangoon North,Not Available,0,2024
Serangoon,Serangoon North Ind Estate,<=60,0,2024
Serangoon,Serangoon North Ind Estate,>60 to 80,0,2024
Serangoon,Serangoon North Ind Estate,>80 to 100,0,2024
Serangoon,Serangoon North Ind Estate,>100 to 120,0,2024
Serangoon,Serangoon North Ind Estate,>120,0,2024
Serangoon,Serangoon North Ind Estate,Not Available,0,2024
Serangoon,Upper Paya Lebar,<=60,940,2024
Serangoon,Upper Paya Lebar,>60 to 80,1620,2024
Serangoon,Upper Paya Lebar,>80 to 100,1030,2024
Serangoon,Upper Paya Lebar,>100 to 120,1980,2024
Serangoon,Upper Paya Lebar,>120,2020,2024
Serangoon,Upper Paya Lebar,Not Available,90,2024
Simpang,Pulau Seletar,<=60,0,2024
Simpang,Pulau Seletar,>60 to 80,0,2024
Simpang,Pulau Seletar,>80 to 100,0,2024
Simpang,Pulau Seletar,>100 to 120,0,2024
Simpang,Pulau Seletar,>120,0,2024
Simpang,Pulau Seletar,Not Available,0,2024
Simpang,Simpang North,<=60,0,2024
Simpang,Simpang North,>60 to 80,0,2024
Simpang,Simpang North,>80 to 100,0,2024
Simpang,Simpang North,>100 to 120,0,2024
Simpang,Simpang North,>120,0,2024
Simpang,Simpang North,Not Available,0,2024
Simpang,Simpang South,<=60,0,2024
Simpang,Simpang South,>60 to 80,0,2024
Simpang,Simpang South,>80 to 100,0,2024
Simpang,Simpang South,>100 to 120,0,2024
Simpang,Simpang South,>120,0,2024
Simpang,Simpang South,Not Available,0,2024
Simpang,Tanjong Irau,<=60,0,2024
Simpang,Tanjong Irau,>60 to 80,0,2024
Simpang,Tanjong Irau,>80 to 100,0,2024
Simpang,Tanjong Irau,>100 to 120,0,2024
Simpang,Tanjong Irau,>120,0,2024
Simpang,Tanjong Irau,Not Available,0,2024
Singapore River,Boat Quay,<=60,0,2024
Singapore River,Boat Quay,>60 to 80,40,2024
Singapore River,Boat Quay,>80 to 100,0,2024
Singapore River,Boat Quay,>100 to 120,40,2024
Singapore River,Boat Quay,>120,40,2024
Singapore River,Boat Quay,Not Available,10,2024
Singapore River,Clarke Quay,<=60,0,2024
Singapore River,Clarke Quay,>60 to 80,0,2024
Singapore River,Clarke Quay,>80 to 100,0,2024
Singapore River,Clarke Quay,>100 to 120,0,2024
Singapore River,Clarke Quay,>120,0,2024
Singapore River,Clarke Quay,Not Available,0,2024
Singapore River,Robertson Quay,<=60,270,2024
Singapore River,Robertson Quay,>60 to 80,570,2024
Singapore River,Robertson Quay,>80 to 100,730,2024
Singapore River,Robertson Quay,>100 to 120,570,2024
Singapore River,Robertson Quay,>120,1890,2024
Singapore River,Robertson Quay,Not Available,10,2024
Southern Islands,Sentosa,<=60,0,2024
Southern Islands,Sentosa,>60 to 80,0,2024
Southern Islands,Sentosa,>80 to 100,10,2024
Southern Islands,Sentosa,>100 to 120,100,2024
Southern Islands,Sentosa,>120,2050,2024
Southern Islands,Sentosa,Not Available,0,2024
Southern Islands,Southern Group,<=60,0,2024
Southern Islands,Southern Group,>60 to 80,0,2024
Southern Islands,Southern Group,>80 to 100,0,2024
Southern Islands,Southern Group,>100 to 120,0,2024
Southern Islands,Southern Group,>120,0,2024
Southern Islands,Southern Group,Not Available,0,2024
Straits View,Straits View,<=60,0,2024
Straits View,Straits View,>60 to 80,0,2024
Straits View,Straits View,>80 to 100,0,2024
Straits View,Straits View,>100 to 120,0,2024
Straits View,Straits View,>120,0,2024
Straits View,Straits View,Not Available,0,2024
Sungei Kadut,Gali Batu,<=60,0,2024
Sungei Kadut,Gali Batu,>60 to 80,0,2024
Sungei Kadut,Gali Batu,>80 to 100,0,2024
Sungei Kadut,Gali Batu,>100 to 120,0,2024
Sungei Kadut,Gali Batu,>120,0,2024
Sungei Kadut,Gali Batu,Not Available,0,2024
Sungei Kadut,Kranji,<=60,0,2024
Sungei Kadut,Kranji,>60 to 80,0,2024
Sungei Kadut,Kranji,>80 to 100,0,2024
Sungei Kadut,Kranji,>100 to 120,0,2024
Sungei Kadut,Kranji,>120,0,2024
Sungei Kadut,Kranji,Not Available,0,2024
Sungei Kadut,Pang Sua,<=60,0,2024
Sungei Kadut,Pang Sua,>60 to 80,0,2024
Sungei Kadut,Pang Sua,>80 to 100,0,2024
Sungei Kadut,Pang Sua,>100 to 120,0,2024
Sungei Kadut,Pang Sua,>120,0,2024
Sungei Kadut,Pang Sua,Not Available,0,2024
Sungei Kadut,Reservoir View,<=60,0,2024
Sungei Kadut,Reservoir View,>60 to 80,0,2024
Sungei Kadut,Reservoir View,>80 to 100,0,2024
Sungei Kadut,Reservoir View,>100 to 120,0,2024
Sungei Kadut,Reservoir View,>120,0,2024
Sungei Kadut,Reservoir View,Not Available,0,2024
Sungei Kadut,Turf Club,<=60,0,2024
Sungei Kadut,Turf Club,>60 to 80,0,2024
Sungei Kadut,Turf Club,>80 to 100,0,2024
Sungei Kadut,Turf Club,>100 to 120,10,2024
Sungei Kadut,Turf Club,>120,220,2024
Sungei Kadut,Turf Club,Not Available,0,2024
Tampines,Simei,<=60,90,2024
Tampines,Simei,>60 to 80,100,2024
Tampines,Simei,>80 to 100,2770,2024
Tampines,Simei,>100 to 120,4620,2024
Tampines,Simei,>120,6390,2024
Tampines,Simei,Not Available,10,2024
Tampines,Tampines East,<=60,3020,2024
Tampines,Tampines East,>60 to 80,9400,2024
Tampines,Tampines East,>80 to 100,5380,2024
Tampines,Tampines East,>100 to 120,13150,2024
Tampines,Tampines East,>120,12630,2024
Tampines,Tampines East,Not Available,280,2024
Tampines,Tampines North,<=60,860,2024
Tampines,Tampines North,>60 to 80,1260,2024
Tampines,Tampines North,>80 to 100,5680,2024
Tampines,Tampines North,>100 to 120,3570,2024
Tampines,Tampines North,>120,20,2024
Tampines,Tampines North,Not Available,0,2024
Tampines,Tampines West,<=60,2330,2024
Tampines,Tampines West,>60 to 80,4630,2024
Tampines,Tampines West,>80 to 100,5440,2024
Tampines,Tampines West,>100 to 120,10580,2024
Tampines,Tampines West,>120,5950,2024
Tampines,Tampines West,Not Available,140,2024
Tampines,Xilin,<=60,0,2024
Tampines,Xilin,>60 to 80,50,2024
Tampines,Xilin,>80 to 100,230,2024
Tampines,Xilin,>100 to 120,150,2024
Tampines,Xilin,>120,380,2024
Tampines,Xilin,Not Available,0,2024
Tanglin,Chatsworth,<=60,790,2024
Tanglin,Chatsworth,>60 to 80,550,2024
Tanglin,Chatsworth,>80 to 100,660,2024
Tanglin,Chatsworth,>100 to 120,790,2024
Tanglin,Chatsworth,>120,2720,2024
Tanglin,Chatsworth,Not Available,160,2024
Tanglin,Nassim,<=60,340,2024
Tanglin,Nassim,>60 to 80,290,2024
Tanglin,Nassim,>80 to 100,470,2024
Tanglin,Nassim,>100 to 120,610,2024
Tanglin,Nassim,>120,3870,2024
Tanglin,Nassim,Not Available,130,2024
Tanglin,Ridout,<=60,0,2024
Tanglin,Ridout,>60 to 80,0,2024
Tanglin,Ridout,>80 to 100,80,2024
Tanglin,Ridout,>100 to 120,30,2024
Tanglin,Ridout,>120,700,2024
Tanglin,Ridout,Not Available,10,2024
Tanglin,Tyersall,<=60,90,2024
Tanglin,Tyersall,>60 to 80,200,2024
Tanglin,Tyersall,>80 to 100,200,2024
Tanglin,Tyersall,>100 to 120,150,2024
Tanglin,Tyersall,>120,1580,2024
Tanglin,Tyersall,Not Available,110,2024
Tengah,Brickland,<=60,0,2024
Tengah,Brickland,>60 to 80,0,2024
Tengah,Brickland,>80 to 100,0,2024
Tengah,Brickland,>100 to 120,0,2024
Tengah,Brickland,>120,0,2024
Tengah,Brickland,Not Available,0,2024
Tengah,Forest Hill,<=60,0,2024
Tengah,Forest Hill,>60 to 80,0,2024
Tengah,Forest Hill,>80 to 100,0,2024
Tengah,Forest Hill,>100 to 120,0,2024
Tengah,Forest Hill,>120,0,2024
Tengah,Forest Hill,Not Available,0,2024
Tengah,Garden,<=60,500,2024
Tengah,Garden,>60 to 80,110,2024
Tengah,Garden,>80 to 100,180,2024
Tengah,Garden,>100 to 120,170,2024
Tengah,Garden,>120,0,2024
Tengah,Garden,Not Available,0,2024
Tengah,Park,<=60,0,2024
Tengah,Park,>60 to 80,0,2024
Tengah,Park,>80 to 100,0,2024
Tengah,Park,>100 to 120,0,2024
Tengah,Park,>120,0,2024
Tengah,Park,Not Available,0,2024
Tengah,Plantation,<=60,1740,2024
Tengah,Plantation,>60 to 80,410,2024
Tengah,Plantation,>80 to 100,1600,2024
Tengah,Plantation,>100 to 120,1320,2024
Tengah,Plantation,>120,0,2024
Tengah,Plantation,Not Available,0,2024
Tengah,Tengah Industrial Estate,<=60,0,2024
Tengah,Tengah Industrial Estate,>60 to 80,0,2024
Tengah,Tengah Industrial Estate,>80 to 100,0,2024
Tengah,Tengah Industrial Estate,>100 to 120,0,2024
Tengah,Tengah Industrial Estate,>120,0,2024
Tengah,Tengah Industrial Estate,Not Available,0,2024
Toa Payoh,Bidadari,<=60,710,2024
Toa Payoh,Bidadari,>60 to 80,730,2024
Toa Payoh,Bidadari,>80 to 100,1450,2024
Toa Payoh,Bidadari,>100 to 120,440,2024
Toa Payoh,Bidadari,>120,20,2024
Toa Payoh,Bidadari,Not Available,0,2024
Toa Payoh,Boon Teck,<=60,2170,2024
Toa Payoh,Boon Teck,>60 to 80,1850,2024
Toa Payoh,Boon Teck,>80 to 100,650,2024
Toa Payoh,Boon Teck,>100 to 120,790,2024
Toa Payoh,Boon Teck,>120,620,2024
Toa Payoh,Boon Teck,Not Available,60,2024
Toa Payoh,Braddell,<=60,760,2024
Toa Payoh,Braddell,>60 to 80,1170,2024
Toa Payoh,Braddell,>80 to 100,660,2024
Toa Payoh,Braddell,>100 to 120,490,2024
Toa Payoh,Braddell,>120,730,2024
Toa Payoh,Braddell,Not Available,50,2024
Toa Payoh,Joo Seng,<=60,570,2024
Toa Payoh,Joo Seng,>60 to 80,370,2024
Toa Payoh,Joo Seng,>80 to 100,600,2024
Toa Payoh,Joo Seng,>100 to 120,890,2024
Toa Payoh,Joo Seng,>120,800,2024
Toa Payoh,Joo Seng,Not Available,90,2024
Toa Payoh,Kim Keat,<=60,190,2024
Toa Payoh,Kim Keat,>60 to 80,1420,2024
Toa Payoh,Kim Keat,>80 to 100,440,2024
Toa Payoh,Kim Keat,>100 to 120,760,2024
Toa Payoh,Kim Keat,>120,570,2024
Toa Payoh,Kim Keat,Not Available,20,2024
Toa Payoh,Lorong 8 Toa Payoh,<=60,260,2024
Toa Payoh,Lorong 8 Toa Payoh,>60 to 80,840,2024
Toa Payoh,Lorong 8 Toa Payoh,>80 to 100,980,2024
Toa Payoh,Lorong 8 Toa Payoh,>100 to 120,580,2024
Toa Payoh,Lorong 8 Toa Payoh,>120,10,2024
Toa Payoh,Lorong 8 Toa Payoh,Not Available,30,2024
Toa Payoh,Pei Chun,<=60,260,2024
Toa Payoh,Pei Chun,>60 to 80,2160,2024
Toa Payoh,Pei Chun,>80 to 100,480,2024
Toa Payoh,Pei Chun,>100 to 120,820,2024
Toa Payoh,Pei Chun,>120,200,2024
Toa Payoh,Pei Chun,Not Available,70,2024
Toa Payoh,Potong Pasir,<=60,750,2024
Toa Payoh,Potong Pasir,>60 to 80,2650,2024
Toa Payoh,Potong Pasir,>80 to 100,790,2024
Toa Payoh,Potong Pasir,>100 to 120,1230,2024
Toa Payoh,Potong Pasir,>120,520,2024
Toa Payoh,Potong Pasir,Not Available,60,2024
Toa Payoh,Sennett,<=60,610,2024
Toa Payoh,Sennett,>60 to 80,1230,2024
Toa Payoh,Sennett,>80 to 100,2450,2024
Toa Payoh,Sennett,>100 to 120,740,2024
Toa Payoh,Sennett,>120,1300,2024
Toa Payoh,Sennett,Not Available,90,2024
Toa Payoh,Toa Payoh Central,<=60,1240,2024
Toa Payoh,Toa Payoh Central,>60 to 80,2710,2024
Toa Payoh,Toa Payoh Central,>80 to 100,2620,2024
Toa Payoh,Toa Payoh Central,>100 to 120,2620,2024
Toa Payoh,Toa Payoh Central,>120,1430,2024
Toa Payoh,Toa Payoh Central,Not Available,160,2024
Toa Payoh,Toa Payoh West,<=60,430,2024
Toa Payoh,Toa Payoh West,>60 to 80,3340,2024
Toa Payoh,Toa Payoh West,>80 to 100,710,2024
Toa Payoh,Toa Payoh West,>100 to 120,100,2024
Toa Payoh,Toa Payoh West,>120,1450,2024
Toa Payoh,Toa Payoh West,Not Available,110,2024
Toa Payoh,Woodleigh,<=60,360,2024
Toa Payoh,Woodleigh,>60 to 80,270,2024
Toa Payoh,Woodleigh,>80 to 100,360,2024
Toa Payoh,Woodleigh,>100 to 120,380,2024
Toa Payoh,Woodleigh,>120,530,2024
Toa Payoh,Woodleigh,Not Available,0,2024
Tuas,Tengeh,<=60,0,2024
Tuas,Tengeh,>60 to 80,0,2024
Tuas,Tengeh,>80 to 100,0,2024
Tuas,Tengeh,>100 to 120,0,2024
Tuas,Tengeh,>120,0,2024
Tuas,Tengeh,Not Available,0,2024
Tuas,Tuas Bay,<=60,0,2024
Tuas,Tuas Bay,>60 to 80,0,2024
Tuas,Tuas Bay,>80 to 100,0,2024
Tuas,Tuas Bay,>100 to 120,0,2024
Tuas,Tuas Bay,>120,0,2024
Tuas,Tuas Bay,Not Available,0,2024
Tuas,Tuas North,<=60,0,2024
Tuas,Tuas North,>60 to 80,0,2024
Tuas,Tuas North,>80 to 100,0,2024
Tuas,Tuas North,>100 to 120,0,2024
Tuas,Tuas North,>120,0,2024
Tuas,Tuas North,Not Available,0,2024
Tuas,Tuas Promenade,<=60,0,2024
Tuas,Tuas Promenade,>60 to 80,0,2024
Tuas,Tuas Promenade,>80 to 100,0,2024
Tuas,Tuas Promenade,>100 to 120,0,2024
Tuas,Tuas Promenade,>120,0,2024
Tuas,Tuas Promenade,Not Available,0,2024
Tuas,Tuas View,<=60,0,2024
Tuas,Tuas View,>60 to 80,0,2024
Tuas,Tuas View,>80 to 100,0,2024
Tuas,Tuas View,>100 to 120,0,2024
Tuas,Tuas View,>120,0,2024
Tuas,Tuas View,Not Available,0,2024
Tuas,Tuas View Extension,<=60,0,2024
Tuas,Tuas View Extension,>60 to 80,0,2024
Tuas,Tuas View Extension,>80 to 100,0,2024
Tuas,Tuas View Extension,>100 to 120,0,2024
Tuas,Tuas View Extension,>120,0,2024
Tuas,Tuas View Extension,Not Available,0,2024
Western Islands,Jurong Island And Bukom,<=60,0,2024
Western Islands,Jurong Island And Bukom,>60 to 80,0,2024
Western Islands,Jurong Island And Bukom,>80 to 100,0,2024
Western Islands,Jurong Island And Bukom,>100 to 120,0,2024
Western Islands,Jurong Island And Bukom,>120,0,2024
Western Islands,Jurong Island And Bukom,Not Available,0,2024
Western Islands,Semakau,<=60,0,2024
Western Islands,Semakau,>60 to 80,0,2024
Western Islands,Semakau,>80 to 100,0,2024
Western Islands,Semakau,>100 to 120,0,2024
Western Islands,Semakau,>120,0,2024
Western Islands,Semakau,Not Available,0,2024
Western Islands,Sudong,<=60,0,2024
Western Islands,Sudong,>60 to 80,0,2024
Western Islands,Sudong,>80 to 100,0,2024
Western Islands,Sudong,>100 to 120,0,2024
Western Islands,Sudong,>120,0,2024
Western Islands,Sudong,Not Available,0,2024
Western Water Catchment,Bahar,<=60,0,2024
Western Water Catchment,Bahar,>60 to 80,0,2024
Western Water Catchment,Bahar,>80 to 100,0,2024
Western Water Catchment,Bahar,>100 to 120,0,2024
Western Water Catchment,Bahar,>120,0,2024
Western Water Catchment,Bahar,Not Available,0,2024
Western Water Catchment,Cleantech,<=60,0,2024
Western Water Catchment,Cleantech,>60 to 80,0,2024
Western Water Catchment,Cleantech,>80 to 100,0,2024
Western Water Catchment,Cleantech,>100 to 120,0,2024
Western Water Catchment,Cleantech,>120,0,2024
Western Water Catchment,Cleantech,Not Available,0,2024
Western Water Catchment,Murai,<=60,0,2024
Western Water Catchment,Murai,>60 to 80,0,2024
Western Water Catchment,Murai,>80 to 100,0,2024
Western Water Catchment,Murai,>100 to 120,0,2024
Western Water Catchment,Murai,>120,0,2024
Western Water Catchment,Murai,Not Available,0,2024
Woodlands,Greenwood Park,<=60,0,2024
Woodlands,Greenwood Park,>60 to 80,0,2024
Woodlands,Greenwood Park,>80 to 100,0,2024
Woodlands,Greenwood Park,>100 to 120,0,2024
Woodlands,Greenwood Park,>120,0,2024
Woodlands,Greenwood Park,Not Available,0,2024
Woodlands,Midview,<=60,590,2024
Woodlands,Midview,>60 to 80,340,2024
Woodlands,Midview,>80 to 100,2790,2024
Woodlands,Midview,>100 to 120,2440,2024
Woodlands,Midview,>120,3500,2024
Woodlands,Midview,Not Available,0,2024
Woodlands,North Coast,<=60,60,2024
Woodlands,North Coast,>60 to 80,1440,2024
Woodlands,North Coast,>80 to 100,1640,2024
Woodlands,North Coast,>100 to 120,540,2024
Woodlands,North Coast,>120,220,2024
Woodlands,North Coast,Not Available,10,2024
Woodlands,Senoko West,<=60,0,2024
Woodlands,Senoko West,>60 to 80,0,2024
Woodlands,Senoko West,>80 to 100,0,2024
Woodlands,Senoko West,>100 to 120,0,2024
Woodlands,Senoko West,>120,0,2024
Woodlands,Senoko West,Not Available,0,2024
Woodlands,Woodgrove,<=60,770,2024
Woodlands,Woodgrove,>60 to 80,860,2024
Woodlands,Woodgrove,>80 to 100,1810,2024
Woodlands,Woodgrove,>100 to 120,2960,2024
Woodlands,Woodgrove,>120,3870,2024
Woodlands,Woodgrove,Not Available,60,2024
Woodlands,Woodlands East,<=60,2030,2024
Woodlands,Woodlands East,>60 to 80,910,2024
Woodlands,Woodlands East,>80 to 100,7580,2024
Woodlands,Woodlands East,>100 to 120,12300,2024
Woodlands,Woodlands East,>120,7130,2024
Woodlands,Woodlands East,Not Available,0,2024
Woodlands,Woodlands Regional Centre,<=60,0,2024
Woodlands,Woodlands Regional Centre,>60 to 80,0,2024
Woodlands,Woodlands Regional Centre,>80 to 100,0,2024
Woodlands,Woodlands Regional Centre,>100 to 120,0,2024
Woodlands,Woodlands Regional Centre,>120,0,2024
Woodlands,Woodlands Regional Centre,Not Available,0,2024
Woodlands,Woodlands South,<=60,1210,2024
Woodlands,Woodlands South,>60 to 80,460,2024
Woodlands,Woodlands South,>80 to 100,2200,2024
Woodlands,Woodlands South,>100 to 120,5330,2024
Woodlands,Woodlands South,>120,3130,2024
Woodlands,Woodlands South,Not Available,0,2024
Woodlands,Woodlands West,<=60,3280,2024
Woodlands,Woodlands West,>60 to 80,3020,2024
Woodlands,Woodlands West,>80 to 100,3310,2024
Woodlands,Woodlands West,>100 to 120,1290,2024
Woodlands,Woodlands West,>120,1950,2024
Woodlands,Woodlands West,Not Available,100,2024
Yishun,Khatib,<=60,140,2024
Yishun,Khatib,>60 to 80,870,2024
Yishun,Khatib,>80 to 100,680,2024
Yishun,Khatib,>100 to 120,710,2024
Yishun,Khatib,>120,1070,2024
Yishun,Khatib,Not Available,10,2024
Yishun,Lower Seletar,<=60,690,2024
Yishun,Lower Seletar,>60 to 80,1000,2024
Yishun,Lower Seletar,>80 to 100,2280,2024
Yishun,Lower Seletar,>100 to 120,1730,2024
Yishun,Lower Seletar,>120,450,2024
Yishun,Lower Seletar,Not Available,0,2024
Yishun,Nee Soon,<=60,40,2024
Yishun,Nee Soon,>60 to 80,50,2024
Yishun,Nee Soon,>80 to 100,40,2024
Yishun,Nee Soon,>100 to 120,90,2024
Yishun,Nee Soon,>120,210,2024
Yishun,Nee Soon,Not Available,0,2024
Yishun,Northland,<=60,480,2024
Yishun,Northland,>60 to 80,2640,2024
Yishun,Northland,>80 to 100,3160,2024
Yishun,Northland,>100 to 120,1620,2024
Yishun,Northland,>120,1330,2024
Yishun,Northland,Not Available,90,2024
Yishun,Springleaf,<=60,20,2024
Yishun,Springleaf,>60 to 80,20,2024
Yishun,Springleaf,>80 to 100,10,2024
Yishun,Springleaf,>100 to 120,20,2024
Yishun,Springleaf,>120,1180,2024
Yishun,Springleaf,Not Available,40,2024
Yishun,Yishun Central,<=60,270,2024
Yishun,Yishun Central,>60 to 80,320,2024
Yishun,Yishun Central,>80 to 100,180,2024
Yishun,Yishun Central,>100 to 120,340,2024
Yishun,Yishun Central,>120,200,2024
Yishun,Yishun Central,Not Available,0,2024
Yishun,Yishun East,<=60,4370,2024
Yishun,Yishun East,>60 to 80,3460,2024
Yishun,Yishun East,>80 to 100,8640,2024
Yishun,Yishun East,>100 to 120,6090,2024
Yishun,Yishun East,>120,2290,2024
Yishun,Yishun East,Not Available,30,2024
Yishun,Yishun South,<=60,770,2024
Yishun,Yishun South,>60 to 80,1910,2024
Yishun,Yishun South,>80 to 100,3690,2024
Yishun,Yishun South,>100 to 120,4300,2024
Yishun,Yishun South,>120,3460,2024
Yishun,Yishun South,Not Available,70,2024
Yishun,Yishun West,<=60,670,2024
Yishun,Yishun West,>60 to 80,6740,2024
Yishun,Yishun West,>80 to 100,6800,2024
Yishun,Yishun West,>100 to 120,2420,2024
Yishun,Yishun West,>120,1990,2024
Yishun,Yishun West,Not Available,250,2024
